;X2016;X2017;X2018;X2019;X2020
  1 ;18467;20918;19342;18628;18840
  2 ;18439;22070;18770;19092;19383
  3 ;18627;21236;19187;19046;19107
  4 ;18707;22083;19171;19458;18880
  5 ;18493;23640;19558;19774;19695
  6 ;18541;22745;20086;19905;18917
  7 ;18483;22683;21254;20125;19518
  8 ;18475;22267;22888;20321;18824
  9 ;18927;20930;25535;20737;19303
  10 ;18888;19102;26777;20386;19451
  11 ;18971;18665;24385;19738;19623
  12 ;18826;17640;22777;18976;19436
  13 ;18617;17731;20906;18501;19385
  14 ;18245;17028;20038;18608;20207
  15 ;17712;16901;19165;17794;19872